Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
[2024/03/06 13:14:45] 5G,register,33.315,103,100,-72,-11,-60,11,3,16,0/24,-65,-12.2,-77.2,-64.6,-14.1,-78.6,-68.5,-11.4,-79.9,-63.2,-11,-74.2,359918920049210,999991829903013
[2024/03/06 13:14:45] Wi-Fi,link,4.926,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,299.4,6,8,-110,-48,-49,-57,62,61,53,62,,,,,,
[2024/03/06 13:14:46] 5G,register,32.626,103,100,-71,-11,-59,11,3,16,0/24,-63.8,-11.5,-75.2,-66.6,-14.3,-80.8,-66.4,-11.1,-77.5,-68.5,-11.1,-79.6,359918920049210,999991829903013
[2024/03/06 13:14:46] Wi-Fi,link,16.636,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,299.4,6,8,-110,-50,-51,-54,60,59,56,60,,,,,,
[2024/03/06 13:14:48] 5G,register,33.212,103,100,-71,-11,-59,11,3,16,0/24,-65.1,-11.8,-76.9,-59.5,-12,-71.5,-62.8,-11,-73.8,-68.8,-11.2,-80,359918920049210,999991829903013
[2024/03/06 13:14:48] Wi-Fi,link,17.828,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,299.4,6,0,-110,-47,-46,-55,63,64,55,63,,,,,,
[2024/03/06 13:14:49] 5G,register,38.208,103,100,-72,-10,-61,11,3,16,0/24,-62.1,-10.8,-72.9,-62.8,-10.4,-73.1,-65.5,-10.9,-76.4,-69.1,-11.2,-80.3,359918920049210,999991829903013
[2024/03/06 13:14:49] Wi-Fi,link,16.878,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,299.4,6,8,-110,-46,-46,-56,64,64,54,64,,,,,,
[2024/03/06 13:14:51] 5G,register,28.491,103,100,-72,-12,-59,12,1,16,0/2,-60.9,-11,-71.8,-59.2,-11.2,-70.4,-71.6,-11.5,-83.1,-65.4,-11,-76.4,359918920049210,999991829903013
[2024/03/06 13:14:51] Wi-Fi,link,17.343,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,299.4,6,8,-110,-50,-50,-61,60,60,49,60,,,,,,
[2024/03/06 13:14:52] 5G,register,35.044,103,100,-74,-11,-62,12,1,16,0/2,-68.6,-22.5,-91.1,-60.6,-11.6,-72.2,-71.6,-11.5,-83.1,-65.4,-11,-76.4,359918920049210,999991829903013
[2024/03/06 13:14:52] Wi-Fi,link,18.473,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,299.4,6,8,-110,-55,-57,-60,55,53,50,55,,,,,,
[2024/03/06 13:14:54] 5G,register,16.29,103,100,-73,-12,-62,13,1,16,0/2,-63.6,-12.2,-75.7,-58.1,-13,-71,-71.6,-11.5,-83.1,-65.4,-11,-76.4,359918920049210,999991829903013
[2024/03/06 13:14:54] Wi-Fi,link,16.965,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,344.1,7,8,-110,-53,-53,-61,57,57,49,57,,,,,,
[2024/03/06 13:14:55] 5G,register,45.702,103,100,-73,-12,-61,13,1,16,1/3,-61.2,-11.1,-72.2,-56.8,-10.8,-67.5,-71.6,-11.5,-83.1,-65.4,-11,-76.4,359918920049210,999991829903013
[2024/03/06 13:14:55] Wi-Fi,link,17.371,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,299.4,6,8,-110,-51,-52,-57,59,58,53,59,,,,,,
[2024/03/06 13:14:56] 5G,register,11.753,103,100,-71,-12,-59,12,1,16,0/3,-62.9,-12.1,-75,-58,-12.4,-70.4,-64,-11.2,-75.2,-60.8,-11,-71.7,359918920049210,999991829903013
[2024/03/06 13:14:57] Wi-Fi,link,16.611,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,299.4,6,8,-110,-55,-56,-61,55,54,49,55,,,,,,
[2024/03/06 13:14:58] 5G,register,35.781,103,100,-70,-10,-59,11,3,16,0/3,-67.1,-14.3,-81.3,-54.2,-10.6,-64.8,-67.8,-11.2,-79,-61.3,-10.9,-72.2,359918920049210,999991829903013
[2024/03/06 13:14:58] Wi-Fi,link,17.052,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,344.1,7,0,-110,-57,-57,-61,53,53,49,53,,,,,,
[2024/03/06 13:14:59] 5G,register,33.73,103,100,-67,-12,-55,11,3,16,0/20,-61,-12.8,-73.8,-59.8,-13.8,-73.5,-63.4,-11.1,-74.5,-58.8,-11,-69.7,359918920049210,999991829903013
[2024/03/06 13:14:59] Wi-Fi,link,18.213,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,344.1,7,8,-110,-59,-62,-62,51,48,48,51,,,,,,
[2024/03/06 13:15:01] 5G,register,33.096,103,100,-67,-13,-54,12,1,16,0/20,-66.8,-14,-80.8,-56.2,-10.5,-66.7,-70.6,-12.3,-82.9,-62.3,-10.9,-73.1,359918920049210,999991829903013
[2024/03/06 13:15:01] Wi-Fi,link,15.936,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,344.1,7,8,-110,-57,-58,-64,53,52,46,53,,,,,,
[2024/03/06 13:15:02] 5G,register,33.724,103,100,-71,-13,-57,11,3,16,0/20,-62.7,-15.6,-78.3,-56.4,-12.3,-68.7,-63.1,-11.2,-74.3,-62.1,-11.8,-73.9,359918920049210,999991829903013
[2024/03/06 13:15:02] Wi-Fi,link,19.472,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,344.1,7,0,-110,-58,-59,-64,52,51,46,52,,,,,,
[2024/03/06 13:15:04] 5G,register,33.2,103,100,-68,-12,-56,10,3,16,0/20,-57.3,-10.8,-68.1,-57.8,-12.5,-70.2,-68.6,-11.2,-79.8,-63.8,-11,-74.8,359918920049210,999991829903013
[2024/03/06 13:15:04] Wi-Fi,link,14.189,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,344.1,7,8,-110,-58,-60,-63,52,50,47,52,,,,,,
[2024/03/06 13:15:05] 5G,register,38.5,103,100,-75,-17,-57,11,3,16,0/3,-59.3,-11.8,-71,-60.7,-14.1,-74.7,-62.4,-11.6,-73.9,-62.2,-11.1,-73.2,359918920049210,999991829903013
[2024/03/06 13:15:05] Wi-Fi,link,9.603,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,344.1,7,7,-110,-61,-64,-64,49,46,46,49,,,,,,
[2024/03/06 13:15:07] 5G,register,33.692,103,100,-74,-16,-57,11,3,16,0/3,-59.5,-12.9,-72.4,-58.6,-13.9,-72.4,-65.8,-11.1,-76.9,-57,-10.9,-67.9,359918920049210,999991829903013
[2024/03/06 13:15:07] Wi-Fi,link,12.219,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,299.4,6,7,-110,-62,-65,-66,48,45,44,48,,,,,,
[2024/03/06 13:15:08] 5G,register,33.529,103,100,-71,-13,-58,11,3,16,0/3,-60.6,-14.9,-75.5,-64.1,-13.6,-77.7,-65.4,-11,-76.4,-61.8,-11,-72.8,359918920049210,999991829903013
[2024/03/06 13:15:08] Wi-Fi,link,11.123,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,299.4,6,7,-110,-62,-64,-68,48,46,42,48,,,,,,
[2024/03/06 13:15:09] 5G,register,38.767,103,100,-71,-12,-58,11,3,16,0/14,-62.7,-11.6,-74.3,-59,-12,-71,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:10] Wi-Fi,link,17.757,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,275.2,5,7,-110,-61,-63,-64,49,47,46,49,,,,,,
[2024/03/06 13:15:11] 5G,register,38.608,103,100,-67,-11,-56,12,1,16,0/14,-61.1,-11.8,-72.9,-60.5,-11.6,-72,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:11] Wi-Fi,link,16.748,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,275.2,5,7,-110,-63,-65,-69,47,45,41,47,,,,,,
[2024/03/06 13:15:12] 5G,register,26.636,103,100,-71,-11,-60,12,1,16,0/14,-62.6,-11.5,-74.1,-58.9,-14,-72.8,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:12] Wi-Fi,link,15.488,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,275.2,5,7,-110,-63,-64,-68,47,46,42,47,,,,,,
[2024/03/06 13:15:14] 5G,register,38.312,103,100,-71,-10,-60,11,1,16,0/20,-59.5,-10.9,-70.3,-53.7,-11.1,-64.7,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:14] Wi-Fi,link,17.665,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,275.2,5,7,-110,-64,-66,-67,46,44,43,46,,,,,,
[2024/03/06 13:15:15] 5G,register,43.631,103,100,-71,-10,-60,12,1,16,0/0,-59.8,-10.4,-70.2,-63.6,-10.8,-74.4,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:15] Wi-Fi,link,17.199,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,275.2,5,8,-110,-65,-68,-68,45,42,42,45,,,,,,
[2024/03/06 13:15:17] 5G,register,28.062,103,100,-71,-11,-59,12,1,16,0/3,-60.7,-10.6,-71.2,-61.3,-13.7,-75,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:17] Wi-Fi,link,15.602,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,275.2,5,0,-110,-67,-70,-70,43,40,40,43,,,,,,
[2024/03/06 13:15:18] 5G,register,30.621,103,100,-68,-11,-56,12,1,16,0/3,-63.4,-11.8,-75.2,-63.5,-13.6,-77.1,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:18] Wi-Fi,link,9.409,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,275.2,5,6,-110,-65,-68,-69,45,42,41,45,,,,,,
[2024/03/06 13:15:20] 5G,register,32.969,103,100,-70,-10,-59,12,1,16,0/3,-56.9,-10.8,-67.7,-56.9,-10.8,-67.7,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:20] Wi-Fi,link,8.464,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,275.2,5,6,-110,-64,-66,-67,46,44,43,46,,,,,,
[2024/03/06 13:15:21] 5G,register,33.445,103,100,-67,-10,-56,13,1,16,0/3,-55.7,-10.5,-66.2,-58.4,-10.8,-69.2,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:21] Wi-Fi,link,17.676,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,6,-110,-66,-67,-70,44,43,40,44,,,,,,
[2024/03/06 13:15:23] 5G,register,33.578,103,100,-66,-10,-56,13,1,16,0/3,-59.2,-11,-70.1,-56.3,-10.6,-66.8,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:23] Wi-Fi,link,17.486,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,6,-110,-64,-64,-69,46,46,41,46,,,,,,
[2024/03/06 13:15:24] 5G,register,33.214,103,100,-67,-10,-56,13,1,16,0/2,-60,-11.1,-71,-57.4,-10.9,-68.2,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:24] Wi-Fi,link,17.401,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,7,-110,-65,-67,-69,45,43,41,45,,,,,,
[2024/03/06 13:15:25] 5G,register,38.561,103,100,-61,-10,-50,13,1,16,0/2,-70.7,-12.5,-83.2,-55.5,-10.6,-66.1,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:25] Wi-Fi,link,24.873,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,5,-110,-69,-70,-72,41,40,38,41,,,,,,
[2024/03/06 13:15:27] 5G,register,8.143,103,100,-66,-10,-56,12,1,16,0/2,-56.5,-10.7,-67.2,-55.5,-10.4,-65.9,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:27] Wi-Fi,link,93.545,UIWANG_OLT_AGV,80:03:84:b7:0e:f0,153,5765,40,40,299.4,6,5,-111,-56,-58,-62,55,53,49,54,,,,,,
[2024/03/06 13:15:28] 5G,register,11.28,103,100,-62,-10,-51,13,1,16,0/2,-57.4,-10.7,-68,-54.1,-10.4,-64.5,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:28] Wi-Fi,link,9.039,UIWANG_OLT_AGV,80:03:84:b7:0e:f0,153,5765,40,40,299.4,6,5,-111,-56,-59,-59,55,52,52,54,,,,,,
[2024/03/06 13:15:30] 5G,register,33.604,103,100,-63,-10,-52,13,1,16,0/2,-55.9,-10.3,-66.1,-52.6,-10.5,-63.1,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:30] Wi-Fi,link,13.226,UIWANG_OLT_AGV,80:03:84:b7:0e:f0,153,5765,40,40,344.1,7,5,-111,-56,-56,-63,55,55,48,54,,,,,,
[2024/03/06 13:15:31] 5G,register,33.499,103,100,-67,-10,-56,13,1,16,0/7,-62.7,-10.7,-73.3,-53.9,-10.5,-64.4,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:31] Wi-Fi,link,5.591,UIWANG_OLT_AGV,80:03:84:b7:0e:f0,153,5765,40,40,344.1,7,5,-111,-54,-55,-62,57,56,49,56,,,,,,
[2024/03/06 13:15:33] 5G,register,23.422,103,100,-68,-10,-57,13,1,16,0/7,-58.5,-11,-69.5,-57.8,-10.6,-68.4,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:33] Wi-Fi,link,9.926,UIWANG_OLT_AGV,80:03:84:b7:0e:f0,153,5765,40,40,413,8,6,-111,-57,-58,-62,54,53,49,53,,,,,,
[2024/03/06 13:15:34] 5G,register,36.131,103,100,-64,-10,-53,13,1,16,0/7,-63,-11.3,-74.2,-59.9,-11.6,-71.4,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:34] Wi-Fi,link,12.803,UIWANG_OLT_AGV,80:03:84:b7:0e:f0,153,5765,40,40,413,8,5,-111,-57,-57,-65,54,54,46,53,,,,,,
[2024/03/06 13:15:36] 5G,register,35.491,103,100,-61,-10,-51,13,1,16,0/7,-60.7,-11.3,-71.9,-58.6,-10.8,-69.4,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:36] Wi-Fi,link,6.013,UIWANG_OLT_AGV,80:03:84:b7:0e:f0,153,5765,40,40,455.8,0,5,-111,-58,-59,-67,53,52,44,52,,,,,,
[2024/03/06 13:15:37] 5G,register,33.492,103,100,-70,-10,-60,14,1,16,0/7,-65.1,-11.2,-76.3,-54.4,-10.5,-64.9,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:37] Wi-Fi,link,5.599,UIWANG_OLT_AGV,80:03:84:b7:0e:f0,153,5765,40,40,455.8,0,5,-111,-59,-59,-68,52,52,43,51,,,,,,
[2024/03/06 13:15:39] 5G,register,33.125,103,100,-68,-10,-58,13,1,16,0/8,-57.2,-10.6,-67.7,-56.8,-10.5,-67.2,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:39] Wi-Fi,link,6.693,UIWANG_OLT_AGV,80:03:84:b7:0e:f0,153,5765,40,40,455.8,0,5,-111,-61,-62,-67,50,49,44,49,,,,,,
[2024/03/06 13:15:40] 5G,register,25.729,103,100,-63,-10,-53,13,1,16,0/23,-63.8,-10.8,-74.6,-60.7,-10.9,-71.6,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
[2024/03/06 13:15:40] Wi-Fi,link,8.708,UIWANG_OLT_AGV,80:03:84:b7:0e:f0,153,5765,40,40,516,10,5,-111,-59,-60,-66,52,51,45,51,,,,,,
[2024/03/06 13:15:41] 5G,register,33.149,103,100,-64,-10,-54,13,1,16,0/23,-54.1,-10.4,-64.4,-55.6,-10.6,-66.2,-64.5,-11,-75.5,-64.8,-10.9,-75.6,359918920049210,999991829903013
